IP,MAC,Latencia (ms)
192.168.40.1,0c:f0:7b:a1:7c:da,2.0
192.168.40.12,00:80:91:b7:d1:ac,2.0
192.168.40.59,b0:22:7a:ee:b3:67,
192.168.40.58,08:00:27:46:c1:cf,2.0
192.168.40.61,b6:3a:45:a4:0e:1c,
192.168.40.77,10:ff:e0:38:ef:31,2.0
192.168.40.30,78:e6:1c:4d:8c:a7,118.0
192.168.40.94,28:cd:c4:9e:0a:01,
192.168.40.97,b0:22:7a:ec:8d:49,3.0
192.168.40.37,36:67:b1:05:33:56,75.0
192.168.40.96,e8:bf:b8:02:35:2d,
192.168.40.80,50:3d:c6:c7:d9:78,
8.8.8.8,Servidor externo,13.0
1.1.1.1,Servidor externo,63.0
google.com,Servidor externo,11.0
